Survey ID,User ID,Start time,Submission time,Time to complete,Cooking oil used,Diet,Food amount,Reason for unusual food amount,Proxy,Proxy Issues,Meal ID,Meal name,Meal time,Food source,Food ID,Search term,Intake24 food code,Description (en),Description (local),Nutrient table name,Nutrient table code,Food group code,Food group (en),Food group (local),Ready meal,Brand,As served weight factor,Serving size (g/ml),Serving image,Leftovers (g/ml),Leftovers image,Portion size (g/ml),Reasonable amount,Missing food description,Missing food portion size,Missing food leftovers,Sub group code,Water,Total nitrogen,Nitrogen conversion factor,Protein,Fat,Carbohydrate,Energy (kcal),Energy (kJ),Alcohol,Englyst fibre,Starch,Total sugars,AOAC,Non-milk extrinsic sugars,Intrinsic and milk sugars,Glucose,Fructose,Maltose,Lactose,Sucrose,Other sugars (UK),FS Table sugar,FS Other Added Sugar,FS Honey,FS Fruit Juice,FS Dried Fruit,FS Fruit Puree,FS Stewed Fruit,FS Vegetable Puree,Satd FA,Cis-Mon FA,Cis-n3 FA,Cis-n6 FA,Trans FA,Cholesterol,Retinol,Total carotene,Alpha-carotene,Beta-carotene,Beta cryptoxanthin,Vitamin A,Vitamin D,Thiamin,Riboflavin,Niacin,Tryptophan/60,Niacin equivalent,Vitamin C,Vitamin E,Vitamin B6,Vitamin B12,Folate,Pantothenic acid,Biotin,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Haem iron,Non-haem iron,Copper,Zinc,Chloride,Iodine,Manganese,Selenium,Total FS,Fruit,Dried fruit,Fruit juice,Smoothie fruit,Tomatoes,Tomato puree,Brassicaceae,Yellow Red Green,Beans,Nuts,Other Vegetables,Beef,Lamb,Pork,Processed Red Meat,Other Red Meat,Burgers,Sausages,Offal,Poultry,Processed Poultry,Game Birds,White Fish,Oily Fish,Canned Tuna,Shellfish,Cottage Cheese,Cheddar Cheese,Other Cheese
6ce12cf8-9db4-4a39-a21a-256861a6f135,HdHXezgsR,2020-03-20T17:57:50.420Z,2020-03-20T17:59:55.828Z,2 min,Did not use,To lose weight,Usual,N/A,No,N/A,1,Breakfast,08:00,Sit-down restaurant or pub,1,cream egg,CEGG,Cadbury cream / crème egg,Cadbury cream / crème egg,NDNS_Yr12,7962,81,"Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",N/A,FALSE,N/A,N/A,39,N/A,0,N/A,39,TRUE,N/A,N/A,N/A,44R,2.61,0.2,2.44,1.25,5.85,30.03,170.04,717.99,0,0.12,2.81,27.22,0.16,25.35,1.87,1.37,0.7,0.78,1.87,17.51,4.99,16.85,8.19,0,0,0,0,0,0,3.63,1.72,0,0.2,0.08,3.51,18.33,21.45,0,21.45,0,21.84,0.23,0.02,0.13,0.08,0.39,0.47,0,0.43,0,0.39,4.68,0.23,1.17,23.4,56.55,33.15,10.53,50.7,0.31,0,0.31,0.04,0.23,40.95,36.66,0.04,0,25.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
095e6256-98dc-431f-90f7-2fc92b7bba72,LnjePQTVG,2020-04-28T14:52:24.945Z,2020-04-28T15:03:43.387Z,11 min,Olive oil,Not on a special diet,Usual,N/A,No,N/A,1,Breakfast,08:00,Supermarket,1,banana,BANA,Banana,Banana,NDNS_Yr12,1977,73,Fresh fruit,N/A,FALSE,N/A,N/A,126,N/A,0,N/A,126,TRUE,N/A,N/A,N/A,40C,94.5,0.25,7.88,1.51,0.13,25.58,102.06,438.48,0,1.01,2.77,22.81,1.76,0,22.81,9.95,9.45,0,0,3.4,0,0,0,0,0,0,0,0,0,0.05,0.01,0.03,0.01,0,0,0,32.76,15.12,25.2,0,5.04,0,0.18,0.05,0.88,0.25,1.26,10.96,0.25,0.38,0,17.64,0.5,3.78,0,415.8,7.56,34.02,28.98,0.38,0,0.38,0.13,0.25,137.34,3.78,0.45,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
095e6256-98dc-431f-90f7-2fc92b7bba72,LnjePQTVG,2020-04-28T14:52:24.945Z,2020-04-28T15:03:43.387Z,11 min,Olive oil,Not on a special diet,Usual,N/A,No,N/A,1,Breakfast,08:00,Supermarket,2,yoghurt,LAFY,"Yoghurt, sugar and fat free (e.g. Danone Light and Free)","Yoghurt, sugar and fat free (e.g. Danone Light and Free)",NDNS,2701,18,Low fat yoghurt/fromage frais,N/A,FALSE,N/A,N/A,400,N/A,0,N/A,400,TRUE,N/A,N/A,N/A,N/A,354.8,2.4,25.52,16.4,0.4,30.8,184,784,0,0.8,2,28.8,N/A,11.6,17.6,4,1.2,0.4,13.2,6.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2,0.08,0.04,0.04,0,0,20,0,0,0,0,20,0.04,0.48,0.84,0.8,4,4.8,0,0,0,1.2,20,2.4,4,160,988,640,64,604,0.4,0,0.4,0.12,2.4,560,108,0,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
095e6256-98dc-431f-90f7-2fc92b7bba72,LnjePQTVG,2020-04-28T14:52:24.945Z,2020-04-28T15:03:43.387Z,11 min,Olive oil,Not on a special diet,Usual,N/A,No,N/A,1,Breakfast,08:00,Supermarket,3,coffee ,FLCO,"Coffee, fresh","Coffee, fresh",NDNS_Yr12,2306,92,Coffee (excluding added sugar),N/A,FALSE,N/A,N/A,317.9,N/A,0,N/A,317.9,TRUE,N/A,N/A,N/A,51A,314.09,0,19.87,0.64,0,0.95,6.36,25.43,0,0,0,0.95,0,0,0.95,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,2.23,0,2.23,0,0,0,0,0,0,9.54,0,292.47,9.54,25.43,22.25,0.32,0,0.32,0.03,0,9.54,3.18,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
095e6256-98dc-431f-90f7-2fc92b7bba72,LnjePQTVG,2020-04-28T14:52:24.945Z,2020-04-28T15:03:43.387Z,11 min,Olive oil,Not on a special diet,Usual,N/A,No,N/A,2,Morning snack or drink,10:30,Supermarket,1,banana,BANA,Banana,Banana,NDNS_Yr12,1977,73,Fresh fruit,N/A,FALSE,N/A,N/A,126,N/A,0,N/A,126,TRUE,N/A,N/A,N/A,40C,94.5,0.25,7.88,1.51,0.13,25.58,102.06,438.48,0,1.01,2.77,22.81,1.76,0,22.81,9.95,9.45,0,0,3.4,0,0,0,0,0,0,0,0,0,0.05,0.01,0.03,0.01,0,0,0,32.76,15.12,25.2,0,5.04,0,0.18,0.05,0.88,0.25,1.26,10.96,0.25,0.38,0,17.64,0.5,3.78,0,415.8,7.56,34.02,28.98,0.38,0,0.38,0.13,0.25,137.34,3.78,0.45,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
095e6256-98dc-431f-90f7-2fc92b7bba72,LnjePQTVG,2020-04-28T14:52:24.945Z,2020-04-28T15:03:43.387Z,11 min,Olive oil,Not on a special diet,Usual,N/A,No,N/A,2,Morning snack or drink,10:30,Supermarket,2,coffee,FLCO,"Coffee, fresh","Coffee, fresh",NDNS_Yr12,2306,92,Coffee (excluding added sugar),N/A,FALSE,N/A,N/A,317.9,N/A,0,N/A,317.9,TRUE,N/A,N/A,N/A,51A,314.09,0,19.87,0.64,0,0.95,6.36,25.43,0,0,0,0.95,0,0,0.95,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,2.23,0,2.23,0,0,0,0,0,0,9.54,0,292.47,9.54,25.43,22.25,0.32,0,0.32,0.03,0,9.54,3.18,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
095e6256-98dc-431f-90f7-2fc92b7bba72,LnjePQTVG,2020-04-28T14:52:24.945Z,2020-04-28T15:03:43.387Z,11 min,Olive oil,Not on a special diet,Usual,N/A,No,N/A,3,Lunch,11:30,Supermarket,1,salad ,19MXSD00,"Mixed salad vegetables and leaves, no dressing","Mixed salad vegetables and leaves, no dressing",NDNS_Yr12,8084,1,White bread/rolls,N/A,FALSE,N/A,N/A,129.9,https://api.intake24.org/images/as_served/NDNS_mixed_salad/e8648e93-9607-4f60-b0ae-f4bc749ef2d5.jpg,0,N/A,129.9,TRUE,N/A,N/A,N/A,36B,121.85,0.52,8.12,2.86,0.65,1.17,20.78,88.33,0,1.82,0,1.04,2.6,0,1.04,0.39,0.52,0,0,0.13,0,0,0,0,0,0,0,0,0,0.12,0.04,0.22,0.09,0,0,0,1558.8,0,1554.9,6.5,259.8,0,0.17,0.13,0.78,0.52,1.43,28.97,1.04,0.13,0,110.42,0.39,1.3,42.87,461.15,131.2,37.67,50.66,1.69,0,1.69,0.09,0.65,133.8,2.6,0.56,2.6,0,0,0,0,0,0,0,129.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
095e6256-98dc-431f-90f7-2fc92b7bba72,LnjePQTVG,2020-04-28T14:52:24.945Z,2020-04-28T15:03:43.387Z,11 min,Olive oil,Not on a special diet,Usual,N/A,No,N/A,3,Lunch,11:30,Supermarket,2,apple,EAPL,"Apple, skin eaten","Apple, skin eaten",NDNS_Yr12,1952,73,Fresh fruit,N/A,FALSE,N/A,N/A,161,N/A,0,N/A,161,TRUE,N/A,N/A,N/A,40A,138.78,0.16,10.06,0.97,0.81,18.68,82.11,346.15,0,2.09,0,18.68,1.93,0,18.68,3.38,10.79,0,0,4.51,0,0,0,0,0,0,0,0,0,0.14,0.08,0.08,0.29,0,0,0,22.54,0,22.54,0,3.22,0,0.06,0.06,0.16,0,0.16,9.34,0.16,0.16,0,0,0.16,1.61,1.61,161,8.05,6.44,12.88,0.16,0,0.16,0.05,0,70.84,6.44,0.06,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
095e6256-98dc-431f-90f7-2fc92b7bba72,LnjePQTVG,2020-04-28T14:52:24.945Z,2020-04-28T15:03:43.387Z,11 min,Olive oil,Not on a special diet,Usual,N/A,No,N/A,3,Lunch,11:30,Supermarket,3,carbonated water ,FWNS,"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar","Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",NDNS_Yr12,5253,84,Diet carbonated drinks (includes low calorie drinks),N/A,FALSE,N/A,N/A,750,N/A,0,N/A,750,TRUE,N/A,N/A,N/A,58B,750,0,46.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
095e6256-98dc-431f-90f7-2fc92b7bba72,LnjePQTVG,2020-04-28T14:52:24.945Z,2020-04-28T15:03:43.387Z,11 min,Olive oil,Not on a special diet,Usual,N/A,No,N/A,4,Afternoon snack or drink,16:00,Supermarket,1,pistachio nuts,PSTC,"Pistachio nuts, unsalted","Pistachio nuts, unsalted",NDNS_Yr12,2197,75,Nuts,N/A,FALSE,N/A,N/A,30,N/A,0,N/A,30,TRUE,N/A,N/A,N/A,56R,0.63,1.02,1.59,5.37,16.62,2.46,180.3,745.5,0,1.83,0.75,1.71,3.09,0,1.71,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,2.22,8.28,0.1,5.27,0,0,0,39,0,39,0,6.6,0,0.21,0.07,0.51,1.17,1.68,0,1.26,0.12,0,17.4,0.33,3.9,1.8,312,33,39,126,0.9,0,0.9,0.25,0.66,5.4,3.3,0.27,1.8,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
